"id_act";"sp";"weight_category";"sample_catch_ST";"lat";"lon";"fishing_mode";"date_act";"vessel";"id_trip";"landingdate";"ocean";"code_act_type"
"fr.ird.t3.entities.data.Activity#1562947613273#0.6081777380057346";"YFT";"p10";0,352470792256216;-12,2168;45,9835;1;2013-03-31;572;"fr.ird.t3.entities.data.Trip#1562947613272#0.7029119715676354";2013-04-11;2;1
"fr.ird.t3.entities.data.Activity#1562947613512#0.018708359939065278";"BET";"m10";0,381069645915694;-7,81681;55,9835;1;2013-04-28;572;"fr.ird.t3.entities.data.Trip#1562947613512#0.3935881778490421";2013-05-28;2;1
"fr.ird.t3.entities.data.Activity#1562947613512#0.018708359939065278";"SKJ";"m10";7,72546979709356;-7,81681;55,9835;1;2013-04-28;572;"fr.ird.t3.entities.data.Trip#1562947613512#0.3935881778490421";2013-05-28;2;1
"fr.ird.t3.entities.data.Activity#1562947613512#0.018708359939065278";"YFT";"m10";4,89346055699075;-7,81681;55,9835;1;2013-04-28;572;"fr.ird.t3.entities.data.Trip#1562947613512#0.3935881778490421";2013-05-28;2;1
"fr.ird.t3.entities.data.Activity#1562947613512#0.04696351111650332";"BET";"m10";0,532250220979728;-8,35014;57,8501;1;2013-04-26;572;"fr.ird.t3.entities.data.Trip#1562947613512#0.3935881778490421";2013-05-28;2;1
"fr.ird.t3.entities.data.Activity#1562947613512#0.04696351111650332";"SKJ";"m10";3,7998841273225;-8,35014;57,8501;1;2013-04-26;572;"fr.ird.t3.entities.data.Trip#1562947613512#0.3935881778490421";2013-05-28;2;1
"fr.ird.t3.entities.data.Activity#1562947613512#0.04696351111650332";"YFT";"m10";2,61338057619971;-8,35014;57,8501;1;2013-04-26;572;"fr.ird.t3.entities.data.Trip#1562947613512#0.3935881778490421";2013-05-28;2;1
"fr.ird.t3.entities.data.Activity#1562947613512#0.04696351111650332";"YFT";"p10";3,05448507549806;-8,35014;57,8501;1;2013-04-26;572;"fr.ird.t3.entities.data.Trip#1562947613512#0.3935881778490421";2013-05-28;2;1
"fr.ird.t3.entities.data.Activity#1562947613512#0.17726690143827784";"BET";"m10";0,732826242145565;-6,56681;49,6001;1;2013-05-01;572;"fr.ird.t3.entities.data.Trip#1562947613512#0.3935881778490421";2013-05-28;2;1
"fr.ird.t3.entities.data.Activity#1562947613512#0.17726690143827784";"SKJ";"m10";14,8566726867184;-6,56681;49,6001;1;2013-05-01;572;"fr.ird.t3.entities.data.Trip#1562947613512#0.3935881778490421";2013-05-28;2;1
"fr.ird.t3.entities.data.Activity#1562947613512#0.17726690143827784";"YFT";"m10";9,41050107113606;-6,56681;49,6001;1;2013-05-01;572;"fr.ird.t3.entities.data.Trip#1562947613512#0.3935881778490421";2013-05-28;2;1
"fr.ird.t3.entities.data.Activity#1562947613512#0.28288035775853326";"BET";"m10";0,266125110489864;-8,38347;61,1001;1;2013-04-23;572;"fr.ird.t3.entities.data.Trip#1562947613512#0.3935881778490421";2013-05-28;2;1
"fr.ird.t3.entities.data.Activity#1562947613512#0.28288035775853326";"SKJ";"m10";1,89994206366125;-8,38347;61,1001;1;2013-04-23;572;"fr.ird.t3.entities.data.Trip#1562947613512#0.3935881778490421";2013-05-28;2;1
"fr.ird.t3.entities.data.Activity#1562947613512#0.28288035775853326";"YFT";"m10";1,30669028809986;-8,38347;61,1001;1;2013-04-23;572;"fr.ird.t3.entities.data.Trip#1562947613512#0.3935881778490421";2013-05-28;2;1
"fr.ird.t3.entities.data.Activity#1562947613512#0.28288035775853326";"YFT";"p10";1,52724253774903;-8,38347;61,1001;1;2013-04-23;572;"fr.ird.t3.entities.data.Trip#1562947613512#0.3935881778490421";2013-05-28;2;1
"fr.ird.t3.entities.data.Activity#1562947613512#0.3470052899122892";"BET";"m10";0,11725219874329;-6,55014;49,4835;1;2013-05-01;572;"fr.ird.t3.entities.data.Trip#1562947613512#0.3935881778490421";2013-05-28;2;1
"fr.ird.t3.entities.data.Activity#1562947613512#0.3470052899122892";"SKJ";"m10";2,37706762987494;-6,55014;49,4835;1;2013-05-01;572;"fr.ird.t3.entities.data.Trip#1562947613512#0.3935881778490421";2013-05-28;2;1
"fr.ird.t3.entities.data.Activity#1562947613512#0.3470052899122892";"YFT";"m10";1,50568017138177;-6,55014;49,4835;1;2013-05-01;572;"fr.ird.t3.entities.data.Trip#1562947613512#0.3935881778490421";2013-05-28;2;1
"fr.ird.t3.entities.data.Activity#1562947613512#0.7917322824132362";"BET";"m10";2,28867595021283;-9,86681;56,5501;1;2013-04-27;572;"fr.ird.t3.entities.data.Trip#1562947613512#0.3935881778490421";2013-05-28;2;1
"fr.ird.t3.entities.data.Activity#1562947613512#0.7917322824132362";"SKJ";"m10";16,3395017474868;-9,86681;56,5501;1;2013-04-27;572;"fr.ird.t3.entities.data.Trip#1562947613512#0.3935881778490421";2013-05-28;2;1
"fr.ird.t3.entities.data.Activity#1562947613512#0.7917322824132362";"YFT";"m10";11,2375364776588;-9,86681;56,5501;1;2013-04-27;572;"fr.ird.t3.entities.data.Trip#1562947613512#0.3935881778490421";2013-05-28;2;1
"fr.ird.t3.entities.data.Activity#1562947613512#0.7917322824132362";"YFT";"p10";13,1342858246417;-9,86681;56,5501;1;2013-04-27;572;"fr.ird.t3.entities.data.Trip#1562947613512#0.3935881778490421";2013-05-28;2;1
"fr.ird.t3.entities.data.Activity#1562947613713#0.304906641305583";"BET";"p10";4,43617090703207;-4,81681;63,9835;2;2013-01-04;600;"fr.ird.t3.entities.data.Trip#1562947613713#0.7520528761082289";2013-01-24;2;1
"fr.ird.t3.entities.data.Activity#1562947613713#0.304906641305583";"YFT";"p10";18,8767862959377;-4,81681;63,9835;2;2013-01-04;600;"fr.ird.t3.entities.data.Trip#1562947613713#0.7520528761082289";2013-01-24;2;1
"fr.ird.t3.entities.data.Activity#1562947613713#0.4910696707365362";"BET";"p10";0,163913554389747;-4,48347;64,6668;2;2013-01-07;600;"fr.ird.t3.entities.data.Trip#1562947613713#0.7520528761082289";2013-01-24;2;1
"fr.ird.t3.entities.data.Activity#1562947613713#0.4910696707365362";"YFT";"m10";0;-4,48347;64,6668;2;2013-01-07;600;"fr.ird.t3.entities.data.Trip#1562947613713#0.7520528761082289";2013-01-24;2;1
"fr.ird.t3.entities.data.Activity#1562947613713#0.4910696707365362";"YFT";"p10";123,770062644338;-4,48347;64,6668;2;2013-01-07;600;"fr.ird.t3.entities.data.Trip#1562947613713#0.7520528761082289";2013-01-24;2;1
"fr.ird.t3.entities.data.Activity#1562947613713#0.5515820537700583";"BET";"p10";2,82190477951582;-4,93347;64,8668;2;2013-01-01;600;"fr.ird.t3.entities.data.Trip#1562947613713#0.7520528761082289";2013-01-24;2;1
"fr.ird.t3.entities.data.Activity#1562947613713#0.5515820537700583";"YFT";"p10";8,42859398736026;-4,93347;64,8668;2;2013-01-01;600;"fr.ird.t3.entities.data.Trip#1562947613713#0.7520528761082289";2013-01-24;2;1
"fr.ird.t3.entities.data.Activity#1562947613713#0.6557417752952005";"BET";"p10";2,2894485792895;-5,95014;63,4335;1;2013-01-14;600;"fr.ird.t3.entities.data.Trip#1562947613713#0.7520528761082289";2013-01-24;2;1
"fr.ird.t3.entities.data.Activity#1562947613713#0.6557417752952005";"YFT";"p10";20,7105514207105;-5,95014;63,4335;1;2013-01-14;600;"fr.ird.t3.entities.data.Trip#1562947613713#0.7520528761082289";2013-01-24;2;1
"fr.ird.t3.entities.data.Activity#1562947613713#0.6766884304766759";"BET";"p10";1,72109232109234;-4,45014;64,6668;2;2013-01-08;600;"fr.ird.t3.entities.data.Trip#1562947613713#0.7520528761082289";2013-01-24;2;1
"fr.ird.t3.entities.data.Activity#1562947613713#0.6766884304766759";"YFT";"p10";39,5856577655515;-4,45014;64,6668;2;2013-01-08;600;"fr.ird.t3.entities.data.Trip#1562947613713#0.7520528761082289";2013-01-24;2;1
"fr.ird.t3.entities.data.Activity#1562947613713#0.7523568260292696";"BET";"p10";2,5867460478895;-4,95014;64,9668;2;2013-01-01;600;"fr.ird.t3.entities.data.Trip#1562947613713#0.7520528761082289";2013-01-24;2;1
"fr.ird.t3.entities.data.Activity#1562947613713#0.7523568260292696";"YFT";"p10";7,72621115508023;-4,95014;64,9668;2;2013-01-01;600;"fr.ird.t3.entities.data.Trip#1562947613713#0.7520528761082289";2013-01-24;2;1
"fr.ird.t3.entities.data.Activity#1562947613713#0.8838747074521772";"BET";"p10";3,5951036484641;-4,45014;64,7168;2;2013-01-08;600;"fr.ird.t3.entities.data.Trip#1562947613713#0.7520528761082289";2013-01-24;2;1
